"passenger_id";"first_name";"last_name";"email";"phone_number";"passport_number"
1;"Ali";"Khan";"ali.khan@example.com";"1111111111";"P1234561"
2;"Sara";"Smith";"sara.smith@example.com";"1111111112";"P1234562"
3;"John";"Doe";"john.doe@example.com";"1111111113";"P1234563"
4;"Jane";"Doe";"jane.doe@example.com";"1111111114";"P1234564"
5;"Carlos";"Rodriguez";"carlos.rod@example.com";"1111111115";"P1234565"
6;"Maria";"Lopez";"maria.lopez@example.com";"1111111116";"P1234566"
7;"Ahmed";"Hassan";"ahmed.hassan@example.com";"1111111117";"P1234567"
8;"Fatima";"Ali";"fatima.ali@example.com";"1111111118";"P1234568"
9;"James";"Brown";"james.brown@example.com";"1111111119";"P1234569"
10;"Linda";"White";"linda.white@example.com";"1111111120";"P1234570"
11;"Robert";"Johnson";"robert.johnson@example.com";"1111111121";"P1234571"
12;"Emily";"Davis";"emily.davis@example.com";"1111111122";"P1234572"
13;"William";"Miller";"william.miller@example.com";"1111111123";"P1234573"
14;"Olivia";"Wilson";"olivia.wilson@example.com";"1111111124";"P1234574"
15;"David";"Moore";"david.moore@example.com";"1111111125";"P1234575"
16;"Sophia";"Taylor";"sophia.taylor@example.com";"1111111126";"P1234576"
17;"Joseph";"Anderson";"joseph.anderson@example.com";"1111111127";"P1234577"
18;"Isabella";"Thomas";"isabella.thomas@example.com";"1111111128";"P1234578"
19;"Charles";"Jackson";"charles.jackson@example.com";"1111111129";"P1234579"
20;"Mia";"Martin";"mia.martin@example.com";"1111111130";"P1234580"
